"","Year","State","market","harvest","materials","chemical","Value","units"
"35",2019,"CALIFORNIA","BEARING","APPLICATIONS","(ACETAMIPRID = 99050)","INSECTICIDE","0.126","LB / ACRE / APPLICATION"
"36",2019,"CALIFORNIA","BEARING","APPLICATIONS","(AZADIRACHTIN = 121701)","INSECTICIDE","0.034","LB / ACRE / APPLICATION"
"37",2019,"CALIFORNIA","BEARING","APPLICATIONS","(BIFENAZATE = 586)","INSECTICIDE","0.496","LB / ACRE / APPLICATION"
"38",2019,"CALIFORNIA","BEARING","APPLICATIONS","(BIFENTHRIN = 128825)","INSECTICIDE","0.109","LB / ACRE / APPLICATION"
"39",2019,"CALIFORNIA","BEARING","APPLICATIONS","(CHLORANTRANILIPROLE = 90100)","INSECTICIDE","0.067","LB / ACRE / APPLICATION"
"40",2019,"CALIFORNIA","BEARING","APPLICATIONS","(CYANTRANILIPROLE = 90098)","INSECTICIDE","0.111","LB / ACRE / APPLICATION"
"41",2019,"CALIFORNIA","BEARING","APPLICATIONS","(CYFLUMETOFEN = 138831)","INSECTICIDE","0.178","LB / ACRE / APPLICATION"
"42",2019,"CALIFORNIA","BEARING","APPLICATIONS","(ETOXAZOLE = 107091)","INSECTICIDE","0.135","LB / ACRE / APPLICATION"
"43",2019,"CALIFORNIA","BEARING","APPLICATIONS","(FENPROPATHRIN = 127901)","INSECTICIDE","0.286","LB / ACRE / APPLICATION"
"44",2019,"CALIFORNIA","BEARING","APPLICATIONS","(FENPYROXIMATE = 129131)","INSECTICIDE","0.103","LB / ACRE / APPLICATION"
"45",2019,"CALIFORNIA","BEARING","APPLICATIONS","(FLONICAMID = 128016)","INSECTICIDE","0.085","LB / ACRE / APPLICATION"
"46",2019,"CALIFORNIA","BEARING","APPLICATIONS","(FLUPYRADIFURONE = 122304)","INSECTICIDE","0.158","LB / ACRE / APPLICATION"
"47",2019,"CALIFORNIA","BEARING","APPLICATIONS","(HEXYTHIAZOX = 128849)","INSECTICIDE","0.177","LB / ACRE / APPLICATION"
"48",2019,"CALIFORNIA","BEARING","APPLICATIONS","(IMIDACLOPRID = 129099)","INSECTICIDE","0.515","LB / ACRE / APPLICATION"
"49",2019,"CALIFORNIA","BEARING","APPLICATIONS","(MALATHION = 57701)","INSECTICIDE","1.991","LB / ACRE / APPLICATION"
"50",2019,"CALIFORNIA","BEARING","APPLICATIONS","(METHOXYFENOZIDE = 121027)","INSECTICIDE","0.174","LB / ACRE / APPLICATION"
"51",2019,"CALIFORNIA","BEARING","APPLICATIONS","(NALED = 34401)","INSECTICIDE","0.904","LB / ACRE / APPLICATION"
"52",2019,"CALIFORNIA","BEARING","APPLICATIONS","(NEEM OIL = 25006)","INSECTICIDE","0.095","LB / ACRE / APPLICATION"
"53",2019,"CALIFORNIA","BEARING","APPLICATIONS","(NEEM OIL","INSECTICIDE","5.151","LB / ACRE / APPLICATION"
"54",2019,"CALIFORNIA","BEARING","APPLICATIONS","(NOVALURON = 124002)","INSECTICIDE","0.059","LB / ACRE / APPLICATION"
"55",2019,"CALIFORNIA","BEARING","APPLICATIONS","(PIPERONYL BUTOXIDE = 67501)","INSECTICIDE","0.478","LB / ACRE / APPLICATION"
"56",2019,"CALIFORNIA","BEARING","APPLICATIONS","(PYRETHRINS = 69001)","INSECTICIDE","0.044","LB / ACRE / APPLICATION"
"57",2019,"CALIFORNIA","BEARING","APPLICATIONS","(PYRIPROXYFEN = 129032)","INSECTICIDE","0.067","LB / ACRE / APPLICATION"
"58",2019,"CALIFORNIA","BEARING","APPLICATIONS","(SPINETORAM = 110007)","INSECTICIDE","0.068","LB / ACRE / APPLICATION"
"59",2019,"CALIFORNIA","BEARING","APPLICATIONS","(SPINOSAD = 110003)","INSECTICIDE","0.093","LB / ACRE / APPLICATION"
"60",2019,"CALIFORNIA","BEARING","APPLICATIONS","(SPIROMESIFEN = 24875)","INSECTICIDE","0.243","LB / ACRE / APPLICATION"
"61",2019,"CALIFORNIA","BEARING","APPLICATIONS","(SULFOXAFLOR = 5210)","INSECTICIDE","0.069","LB / ACRE / APPLICATION"
"62",2019,"CALIFORNIA","BEARING","APPLICATIONS","(THIAMETHOXAM = 60109)","INSECTICIDE","0.062","LB / ACRE / APPLICATION"
"63",2019,"CALIFORNIA","BEARING","APPLICATIONS","(CHLOROPICRIN = 81501)","OTHER","244.066","LB / ACRE / APPLICATION"
"64",2019,"CALIFORNIA","BEARING","APPLICATIONS","(DICHLOROPROPENE = 29001)","OTHER","83.557","LB / ACRE / APPLICATION"
"65",2019,"CALIFORNIA","BEARING","APPLICATIONS","(FLUTRIAFOL = 128940)","OTHER","0.112","LB / ACRE / APPLICATION"
"66",2019,"CALIFORNIA","BEARING","APPLICATIONS","(IRON PHOSPHATE = 34903)","OTHER","0.161","LB / ACRE / APPLICATION"
"67",2019,"CALIFORNIA","BEARING","APPLICATIONS","(METAM-POTASSIUM = 39002)","OTHER","214.011","LB / ACRE / APPLICATION"
"68",2019,"CALIFORNIA","BEARING","APPLICATIONS","(METAM-SODIUM = 39003)","OTHER","228.063","LB / ACRE / APPLICATION"
"69",2019,"CALIFORNIA","BEARING","APPLICATIONS","(REYNOUTRIA SACHALINE = 55809)","OTHER","0.191","LB / ACRE / APPLICATION"
"70",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","(NITROGEN)","6","LB / ACRE / APPLICATION"
"71",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","(PHOSPHATE)","8","LB / ACRE / APPLICATION"
"72",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","(POTASH)","5","LB / ACRE / APPLICATION"
"73",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","(SULFUR)","2","LB / ACRE / APPLICATION"
"74",2019,"FLORIDA","BEARING","APPLICATIONS","(AZOXYSTROBIN = 128810)","FUNGICIDE","0.858","LB / ACRE / APPLICATION"
"75",2019,"FLORIDA","BEARING","APPLICATIONS","(CAPTAN = 81301)","FUNGICIDE","2.098","LB / ACRE / APPLICATION"
"76",2019,"FLORIDA","BEARING","APPLICATIONS","(CYPRODINIL = 288202)","FUNGICIDE","0.313","LB / ACRE / APPLICATION"
"77",2019,"FLORIDA","BEARING","APPLICATIONS","(FLUDIOXONIL = 71503)","FUNGICIDE","0.206","LB / ACRE / APPLICATION"
"78",2019,"FLORIDA","BEARING","APPLICATIONS","(THIOPHANATE-METHYL = 102001)","FUNGICIDE","1.34","LB / ACRE / APPLICATION"
"79",2019,"FLORIDA","BEARING","APPLICATIONS","(THIRAM = 79801)","FUNGICIDE","2.036","LB / ACRE / APPLICATION"
"80",2019,"FLORIDA","BEARING","APPLICATIONS","(ABAMECTIN = 122804)","INSECTICIDE","0.045","LB / ACRE / APPLICATION"
"81",2019,"FLORIDA","BEARING","APPLICATIONS","(ACETAMIPRID = 99050)","INSECTICIDE","0.099","LB / ACRE / APPLICATION"
"82",2019,"FLORIDA","BEARING","APPLICATIONS","(BIFENAZATE = 586)","INSECTICIDE","0.141","LB / ACRE / APPLICATION"
"83",2019,"FLORIDA","BEARING","APPLICATIONS","(BIFENTHRIN = 128825)","INSECTICIDE","0.05","LB / ACRE / APPLICATION"
"84",2019,"FLORIDA","BEARING","APPLICATIONS","(CHLORANTRANILIPROLE = 90100)","INSECTICIDE","0.058","LB / ACRE / APPLICATION"
"85",2019,"FLORIDA","BEARING","APPLICATIONS","(NOVALURON = 124002)","INSECTICIDE","0.065","LB / ACRE / APPLICATION"
"86",2019,"FLORIDA","BEARING","APPLICATIONS","(SPINETORAM = 110007)","INSECTICIDE","0.063","LB / ACRE / APPLICATION"
"87",2019,"FLORIDA","BEARING","APPLICATIONS","(THIAMETHOXAM = 60109)","INSECTICIDE","0.054","LB / ACRE / APPLICATION"
"88",2019,"FLORIDA","BEARING","APPLICATIONS"," ","(NITROGEN)","1","LB / ACRE / APPLICATION"
"89",2019,"FLORIDA","BEARING","APPLICATIONS"," ","(PHOSPHATE)","1","LB / ACRE / APPLICATION"
"90",2019,"FLORIDA","BEARING","APPLICATIONS"," ","(POTASH)","2","LB / ACRE / APPLICATION"
"91",2018,"CALIFORNIA","BEARING","APPLICATIONS","(AZOXYSTROBIN = 128810)","FUNGICIDE","0.213","LB / ACRE / APPLICATION"
"92",2018,"CALIFORNIA","BEARING","APPLICATIONS","(BOSCALID = 128008)","FUNGICIDE","0.358","LB / ACRE / APPLICATION"
"93",2018,"CALIFORNIA","BEARING","APPLICATIONS","(CAPTAN = 81301)","FUNGICIDE","1.878","LB / ACRE / APPLICATION"
"94",2018,"CALIFORNIA","BEARING","APPLICATIONS","(CYFLUFENAMID = 555550)","FUNGICIDE","0.022","LB / ACRE / APPLICATION"
"95",2018,"CALIFORNIA","BEARING","APPLICATIONS","(CYPRODINIL = 288202)","FUNGICIDE","0.32","LB / ACRE / APPLICATION"
"96",2018,"CALIFORNIA","BEARING","APPLICATIONS","(FENHEXAMID = 90209)","FUNGICIDE","0.59","LB / ACRE / APPLICATION"
"97",2018,"CALIFORNIA","BEARING","APPLICATIONS","(FLUDIOXONIL = 71503)","FUNGICIDE","0.214","LB / ACRE / APPLICATION"
"98",2018,"CALIFORNIA","BEARING","APPLICATIONS","(FLUOPYRAM = 80302)","FUNGICIDE","0.119","LB / ACRE / APPLICATION"
"99",2018,"CALIFORNIA","BEARING","APPLICATIONS","(FLUXAPYROXAD = 138009)","FUNGICIDE","0.17","LB / ACRE / APPLICATION"
"100",2018,"CALIFORNIA","BEARING","APPLICATIONS","(MEFENOXAM = 113502)","FUNGICIDE","0.488","LB / ACRE / APPLICATION"
"101",2018,"CALIFORNIA","BEARING","APPLICATIONS","(MYCLOBUTANIL = 128857)","FUNGICIDE","0.104","LB / ACRE / APPLICATION"
"102",2018,"CALIFORNIA","BEARING","APPLICATIONS","(PENTHIOPYRAD = 90112)","FUNGICIDE","0.301","LB / ACRE / APPLICATION"
"103",2018,"CALIFORNIA","BEARING","APPLICATIONS","(POLYOXIN D ZINC SALT = 230000)","FUNGICIDE","0.044","LB / ACRE / APPLICATION"
"104",2018,"CALIFORNIA","BEARING","APPLICATIONS","(POTASSIUM BICARBON. = 73508)","FUNGICIDE","2.425","LB / ACRE / APPLICATION"
"105",2018,"CALIFORNIA","BEARING","APPLICATIONS","(PROPICONAZOLE = 122101)","FUNGICIDE","0.112","LB / ACRE / APPLICATION"
"106",2018,"CALIFORNIA","BEARING","APPLICATIONS","(PYRACLOSTROBIN = 99100)","FUNGICIDE","0.171","LB / ACRE / APPLICATION"
"107",2018,"CALIFORNIA","BEARING","APPLICATIONS","(PYRIMETHANIL = 288201)","FUNGICIDE","0.628","LB / ACRE / APPLICATION"
"108",2018,"CALIFORNIA","BEARING","APPLICATIONS","(QUINOLINE = 55459)","FUNGICIDE","0.096","LB / ACRE / APPLICATION"
"109",2018,"CALIFORNIA","BEARING","APPLICATIONS","(SULFUR = 77501)","FUNGICIDE","4.865","LB / ACRE / APPLICATION"
"110",2018,"CALIFORNIA","BEARING","APPLICATIONS","(TETRACONAZOLE = 120603)","FUNGICIDE","0.038","LB / ACRE / APPLICATION"
"111",2018,"CALIFORNIA","BEARING","APPLICATIONS","(THIOPHANATE-METHYL = 102001)","FUNGICIDE","0.636","LB / ACRE / APPLICATION"
"112",2018,"CALIFORNIA","BEARING","APPLICATIONS","(THIRAM = 79801)","FUNGICIDE","2.078","LB / ACRE / APPLICATION"
"113",2018,"CALIFORNIA","BEARING","APPLICATIONS","(TRIFLOXYSTROBIN = 129112)","FUNGICIDE","0.114","LB / ACRE / APPLICATION"
"114",2018,"CALIFORNIA","BEARING","APPLICATIONS","(TRIFLUMIZOLE = 128879)","FUNGICIDE","0.241","LB / ACRE / APPLICATION"
"115",2018,"CALIFORNIA","BEARING","APPLICATIONS","(FLUMIOXAZIN = 129034)","HERBICIDE","0.096","LB / ACRE / APPLICATION"
"116",2018,"CALIFORNIA","BEARING","APPLICATIONS","(OXYFLUORFEN = 111601)","HERBICIDE","0.353","LB / ACRE / APPLICATION"
"117",2018,"CALIFORNIA","BEARING","APPLICATIONS","(PENDIMETHALIN = 108501)","HERBICIDE","1.364","LB / ACRE / APPLICATION"
"118",2018,"CALIFORNIA","BEARING","APPLICATIONS","(ABAMECTIN = 122804)","INSECTICIDE","0.019","LB / ACRE / APPLICATION"
"119",2018,"CALIFORNIA","BEARING","APPLICATIONS","(ACEQUINOCYL = 6329)","INSECTICIDE","0.297","LB / ACRE / APPLICATION"
"120",2018,"CALIFORNIA","BEARING","APPLICATIONS","(ACETAMIPRID = 99050)","INSECTICIDE","0.118","LB / ACRE / APPLICATION"
"121",2018,"CALIFORNIA","BEARING","APPLICATIONS","(AZADIRACHTIN = 121701)","INSECTICIDE","0.032","LB / ACRE / APPLICATION"
"122",2018,"CALIFORNIA","BEARING","APPLICATIONS","(BIFENAZATE = 586)","INSECTICIDE","0.49","LB / ACRE / APPLICATION"
"123",2018,"CALIFORNIA","BEARING","APPLICATIONS","(BIFENTHRIN = 128825)","INSECTICIDE","0.098","LB / ACRE / APPLICATION"
"124",2018,"CALIFORNIA","BEARING","APPLICATIONS","(CHLORANTRANILIPROLE = 90100)","INSECTICIDE","0.071","LB / ACRE / APPLICATION"
"125",2018,"CALIFORNIA","BEARING","APPLICATIONS","(CYFLUMETOFEN = 138831)","INSECTICIDE","0.179","LB / ACRE / APPLICATION"
"126",2018,"CALIFORNIA","BEARING","APPLICATIONS","(FENPROPATHRIN = 127901)","INSECTICIDE","0.286","LB / ACRE / APPLICATION"
"127",2018,"CALIFORNIA","BEARING","APPLICATIONS","(FENPYROXIMATE = 129131)","INSECTICIDE","0.105","LB / ACRE / APPLICATION"
"128",2018,"CALIFORNIA","BEARING","APPLICATIONS","(FLONICAMID = 128016)","INSECTICIDE","0.082","LB / ACRE / APPLICATION"
"129",2018,"CALIFORNIA","BEARING","APPLICATIONS","(FLUPYRADIFURONE = 122304)","INSECTICIDE","0.172","LB / ACRE / APPLICATION"
"130",2018,"CALIFORNIA","BEARING","APPLICATIONS","(HEXYTHIAZOX = 128849)","INSECTICIDE","0.181","LB / ACRE / APPLICATION"
"131",2018,"CALIFORNIA","BEARING","APPLICATIONS","(IMIDACLOPRID = 129099)","INSECTICIDE","0.5","LB / ACRE / APPLICATION"
"132",2018,"CALIFORNIA","BEARING","APPLICATIONS","(MALATHION = 57701)","INSECTICIDE","1.799","LB / ACRE / APPLICATION"
"133",2018,"CALIFORNIA","BEARING","APPLICATIONS","(METHOXYFENOZIDE = 121027)","INSECTICIDE","0.176","LB / ACRE / APPLICATION"
"134",2018,"CALIFORNIA","BEARING","APPLICATIONS","(NALED = 34401)","INSECTICIDE","0.891","LB / ACRE / APPLICATION"
"135",2018,"CALIFORNIA","BEARING","APPLICATIONS","(NEEM OIL","INSECTICIDE","6.34","LB / ACRE / APPLICATION"
"136",2018,"CALIFORNIA","BEARING","APPLICATIONS","(NOVALURON = 124002)","INSECTICIDE","0.073","LB / ACRE / APPLICATION"
"137",2018,"CALIFORNIA","BEARING","APPLICATIONS","(PYRETHRINS = 69001)","INSECTICIDE","0.054","LB / ACRE / APPLICATION"
"138",2018,"CALIFORNIA","BEARING","APPLICATIONS","(SPINETORAM = 110007)","INSECTICIDE","0.069","LB / ACRE / APPLICATION"
"139",2018,"CALIFORNIA","BEARING","APPLICATIONS","(SPINOSAD = 110003)","INSECTICIDE","0.091","LB / ACRE / APPLICATION"
"140",2018,"CALIFORNIA","BEARING","APPLICATIONS","(SPIROMESIFEN = 24875)","INSECTICIDE","0.25","LB / ACRE / APPLICATION"
"141",2018,"CALIFORNIA","BEARING","APPLICATIONS","(THIAMETHOXAM = 60109)","INSECTICIDE","0.06","LB / ACRE / APPLICATION"
"142",2018,"CALIFORNIA","BEARING","APPLICATIONS","(CHLOROPICRIN = 81501)","OTHER","236.901","LB / ACRE / APPLICATION"
"143",2018,"CALIFORNIA","BEARING","APPLICATIONS","(DICHLOROPROPENE = 29001)","OTHER","83.195","LB / ACRE / APPLICATION"
"144",2018,"CALIFORNIA","BEARING","APPLICATIONS","(FLUTRIAFOL = 128940)","OTHER","0.113","LB / ACRE / APPLICATION"
"145",2018,"CALIFORNIA","BEARING","APPLICATIONS","(REYNOUTRIA SACHALINE = 55809)","OTHER","0.226","LB / ACRE / APPLICATION"
"146",2018,"CALIFORNIA","BEARING","APPLICATIONS"," ","(NITROGEN)","18","LB / ACRE / APPLICATION"
"147",2018,"CALIFORNIA","BEARING","APPLICATIONS"," ","(PHOSPHATE)","15","LB / ACRE / APPLICATION"
"148",2018,"CALIFORNIA","BEARING","APPLICATIONS"," ","(POTASH)","24","LB / ACRE / APPLICATION"
"149",2018,"CALIFORNIA","BEARING","APPLICATIONS"," ","(SULFUR)","9","LB / ACRE / APPLICATION"
"150",2018,"FLORIDA","BEARING","APPLICATIONS","(CAPTAN = 81301)","FUNGICIDE","1.858","LB / ACRE / APPLICATION"
"151",2018,"FLORIDA","BEARING","APPLICATIONS","(CYPRODINIL = 288202)","FUNGICIDE","0.33","LB / ACRE / APPLICATION"
"152",2018,"FLORIDA","BEARING","APPLICATIONS","(FLUDIOXONIL = 71503)","FUNGICIDE","0.221","LB / ACRE / APPLICATION"
"153",2018,"FLORIDA","BEARING","APPLICATIONS","(THIRAM = 79801)","FUNGICIDE","1.632","LB / ACRE / APPLICATION"
"154",2018,"FLORIDA","BEARING","APPLICATIONS"," ","(NITROGEN)","1","LB / ACRE / APPLICATION"
"155",2018,"FLORIDA","BEARING","APPLICATIONS"," ","(PHOSPHATE)","(Z)","LB / ACRE / APPLICATION"
"156",2018,"FLORIDA","BEARING","APPLICATIONS"," ","(POTASH)","1","LB / ACRE / APPLICATION"
"157",2016,"CALIFORNIA","BEARING","APPLICATIONS","(AZOXYSTROBIN = 128810)","FUNGICIDE","0.227","LB / ACRE / APPLICATION"
"158",2016,"CALIFORNIA","BEARING","APPLICATIONS","(BLAD = 30006)","FUNGICIDE","0.533","LB / ACRE / APPLICATION"
"159",2016,"CALIFORNIA","BEARING","APPLICATIONS","(BOSCALID = 128008)","FUNGICIDE","0.352","LB / ACRE / APPLICATION"
"160",2016,"CALIFORNIA","BEARING","APPLICATIONS","(CAPTAN = 81301)","FUNGICIDE","1.659","LB / ACRE / APPLICATION"
"161",2016,"CALIFORNIA","BEARING","APPLICATIONS","(CYFLUFENAMID = 555550)","FUNGICIDE","0.022","LB / ACRE / APPLICATION"
"162",2016,"CALIFORNIA","BEARING","APPLICATIONS","(CYPRODINIL = 288202)","FUNGICIDE","0.327","LB / ACRE / APPLICATION"
"163",2016,"CALIFORNIA","BEARING","APPLICATIONS","(FENHEXAMID = 90209)","FUNGICIDE","0.715","LB / ACRE / APPLICATION"
"164",2016,"CALIFORNIA","BEARING","APPLICATIONS","(FLUDIOXONIL = 71503)","FUNGICIDE","0.218","LB / ACRE / APPLICATION"
"165",2016,"CALIFORNIA","BEARING","APPLICATIONS","(FLUOPYRAM = 80302)","FUNGICIDE","0.124","LB / ACRE / APPLICATION"
"166",2016,"CALIFORNIA","BEARING","APPLICATIONS","(FLUXAPYROXAD = 138009)","FUNGICIDE","0.177","LB / ACRE / APPLICATION"
"167",2016,"CALIFORNIA","BEARING","APPLICATIONS","(MEFENOXAM = 113502)","FUNGICIDE","0.471","LB / ACRE / APPLICATION"
"168",2016,"CALIFORNIA","BEARING","APPLICATIONS","(MYCLOBUTANIL = 128857)","FUNGICIDE","0.115","LB / ACRE / APPLICATION"
"169",2016,"CALIFORNIA","BEARING","APPLICATIONS","(PENTHIOPYRAD = 90112)","FUNGICIDE","0.297","LB / ACRE / APPLICATION"
"170",2016,"CALIFORNIA","BEARING","APPLICATIONS","(POLYOXIN D ZINC SALT = 230000)","FUNGICIDE","0.044","LB / ACRE / APPLICATION"
"171",2016,"CALIFORNIA","BEARING","APPLICATIONS","(POTASSIUM BICARBON. = 73508)","FUNGICIDE","2.392","LB / ACRE / APPLICATION"
"172",2016,"CALIFORNIA","BEARING","APPLICATIONS","(PROPICONAZOLE = 122101)","FUNGICIDE","0.112","LB / ACRE / APPLICATION"
"173",2016,"CALIFORNIA","BEARING","APPLICATIONS","(PYRACLOSTROBIN = 99100)","FUNGICIDE","0.178","LB / ACRE / APPLICATION"
"174",2016,"CALIFORNIA","BEARING","APPLICATIONS","(PYRIMETHANIL = 288201)","FUNGICIDE","0.658","LB / ACRE / APPLICATION"
"175",2016,"CALIFORNIA","BEARING","APPLICATIONS","(QUINOLINE = 55459)","FUNGICIDE","0.096","LB / ACRE / APPLICATION"
"176",2016,"CALIFORNIA","BEARING","APPLICATIONS","(SULFUR = 77501)","FUNGICIDE","3.712","LB / ACRE / APPLICATION"
"177",2016,"CALIFORNIA","BEARING","APPLICATIONS","(TETRACONAZOLE = 120603)","FUNGICIDE","0.037","LB / ACRE / APPLICATION"
"178",2016,"CALIFORNIA","BEARING","APPLICATIONS","(THIOPHANATE-METHYL = 102001)","FUNGICIDE","0.826","LB / ACRE / APPLICATION"
"179",2016,"CALIFORNIA","BEARING","APPLICATIONS","(TRIFLOXYSTROBIN = 129112)","FUNGICIDE","0.108","LB / ACRE / APPLICATION"
"180",2016,"CALIFORNIA","BEARING","APPLICATIONS","(TRIFLUMIZOLE = 128879)","FUNGICIDE","0.234","LB / ACRE / APPLICATION"
"181",2016,"CALIFORNIA","BEARING","APPLICATIONS","(FLUMIOXAZIN = 129034)","HERBICIDE","0.091","LB / ACRE / APPLICATION"
"182",2016,"CALIFORNIA","BEARING","APPLICATIONS","(OXYFLUORFEN = 111601)","HERBICIDE","0.467","LB / ACRE / APPLICATION"
"183",2016,"CALIFORNIA","BEARING","APPLICATIONS","(PENDIMETHALIN = 108501)","HERBICIDE","1.382","LB / ACRE / APPLICATION"
"184",2016,"CALIFORNIA","BEARING","APPLICATIONS","(ABAMECTIN = 122804)","INSECTICIDE","0.019","LB / ACRE / APPLICATION"
"185",2016,"CALIFORNIA","BEARING","APPLICATIONS","(ACEQUINOCYL = 6329)","INSECTICIDE","0.294","LB / ACRE / APPLICATION"
"186",2016,"CALIFORNIA","BEARING","APPLICATIONS","(ACETAMIPRID = 99050)","INSECTICIDE","0.124","LB / ACRE / APPLICATION"
"187",2016,"CALIFORNIA","BEARING","APPLICATIONS","(AZADIRACHTIN = 121701)","INSECTICIDE","0.037","LB / ACRE / APPLICATION"
"188",2016,"CALIFORNIA","BEARING","APPLICATIONS","(BIFENAZATE = 586)","INSECTICIDE","0.499","LB / ACRE / APPLICATION"
"189",2016,"CALIFORNIA","BEARING","APPLICATIONS","(BIFENTHRIN = 128825)","INSECTICIDE","0.107","LB / ACRE / APPLICATION"
